#BM,threads, p8tm 2 0 1, Total Commits, GL Commits, HTM conflict aborts, HTM capacity aborts, ROT conflict aborts, ROT capacity aborts, p8tm-si 0 2 1, Total Commits, GL Commits, HTM conflict aborts, HTM capacity aborts, ROT conflict aborts, ROT capacity aborts
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,5,71684,358444,318767,619177,16655,0,0,99291,496483,81759,0,0,219442,4433
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,6,57054,285294,259404,511823,5272,0,0,96374,481904,75834,0,0,203128,3755
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,7,59124,295640,270896,537971,2372,0,0,106496,532514,72928,0,0,192793,5408
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,8,60460,302327,277766,552775,1193,0,0,113987,569972,71338,0,0,190444,5627
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,9,63412,317090,291572,580893,596,0,0,122294,611510,73793,0,0,196431,6216
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,10,60405,302070,277792,553586,296,0,0,127428,637187,70885,0,0,189663,6723
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,11,61852,309293,284771,563262,1120,0,0,112799,564038,72653,0,0,160981,17737
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,12,62443,312241,287066,565114,1358,0,0,110121,550647,77732,0,0,149272,28804
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,13,63536,317710,292364,573701,945,0,0,106093,530529,82586,0,0,144981,34726
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,14,63856,319323,293297,572273,1272,0,0,102241,511259,84770,0,0,140603,38746
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,15,65843,329261,303183,589891,1023,0,0,102865,514378,90757,0,0,142033,44367
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,16,66999,335037,308665,599672,1374,0,0,100309,501598,92696,0,0,137820,47309
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,17,67628,338191,311435,604407,1183,0,0,100065,500385,93388,0,0,134243,50032
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,18,66859,334343,307730,596886,949,0,0,97520,487664,93546,0,0,131373,50887
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,19,68290,341503,313861,607271,932,0,0,100733,503726,99132,0,0,136554,54626
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,20,68570,342899,315229,609338,798,0,0,101148,505822,100608,0,0,135533,56565
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,21,67436,337244,310422,600984,990,0,0,94643,473277,96129,0,0,125784,55277
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,22,67816,339129,312130,603877,1037,0,0,90449,452306,94446,0,0,117721,56432
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,23,65225,326192,300222,580290,1144,0,0,89449,447323,95501,0,0,117781,57462
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,24,64307,321585,295955,571721,935,0,0,85517,427658,93689,0,0,112006,57460
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,25,63009,315106,289526,559226,851,0,0,83146,415808,93365,0,0,107883,58775
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,26,63128,315702,290536,560985,779,0,0,84460,422365,96559,0,0,111462,60324
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,27,62252,311324,286349,552108,923,0,0,83035,415256,94296,0,0,105093,61288
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,28,62695,313543,288660,556417,985,0,0,81858,409376,94164,0,0,104965,61007
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,29,61674,308436,284125,547481,1508,0,0,82378,411973,95553,0,0,105683,62291
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,30,61024,305181,280784,540344,1421,0,0,81334,406755,94943,0,0,104072,62400
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,31,61579,307967,283527,544913,1069,0,0,80314,401671,94842,0,0,102643,63048
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,32,59882,299486,275428,528116,1111,0,0,76286,381500,95042,0,0,91199,67564
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,33,59849,299320,276023,529784,1202,0,0,75480,377484,95005,0,0,93785,66161
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,34,58728,293711,270240,517838,805,0,0,74741,373795,94946,0,0,90804,67564
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,35,59285,296516,272767,521370,1017,0,0,75736,378755,97709,0,0,92567,69743
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,36,59200,296101,273011,521230,1026,0,0,75147,375816,96839,0,0,90467,70071
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,37,59561,297889,274682,523610,1151,0,0,75272,376458,98595,0,0,93034,70483
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,38,58592,293036,269961,514056,1224,0,0,73471,367438,96094,0,0,89579,69576
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,39,59771,298939,275302,523266,1451,0,0,74225,371219,97597,0,0,90209,71017
tpcc-t5-w20-m20-s4-d4-o4-p43-r45,40,60205,301136,277477,527622,961,0,0,74342,371803,98654,0,0,91505,71651
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,1,34377,171896,89448,0,89448,0,0,35084,175430,1149,0,0,0,769
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,2,61042,305231,191625,155297,157003,0,0,64326,321645,110569,0,0,327614,1251
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,3,75808,379059,280266,362301,144648,0,0,68596,343004,77694,0,0,220097,2464
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,4,77443,387236,334452,596906,58050,0,0,88183,440934,83120,0,0,229358,3415
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,5,64273,321389,287533,559137,13817,0,0,90459,452321,76585,0,0,205413,3947
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,6,50282,251429,229044,451709,4516,0,0,86153,430802,68862,0,0,182814,3384
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,7,53423,267131,245119,486627,2135,0,0,96006,480065,65421,0,0,171607,4669
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,8,53073,265395,243837,485400,974,0,0,103699,518534,63609,0,0,166835,4933
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,9,55685,278453,256272,510602,431,0,0,109612,548104,62735,0,0,164294,5080
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,10,52036,260209,239370,477256,194,0,0,116588,583007,60125,0,0,157566,5406
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,11,53880,269425,247699,490025,1122,0,0,105436,527215,59428,0,0,119955,16619
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,12,54143,270740,248584,489583,819,0,0,105183,525960,60895,0,0,98384,28615
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,13,57741,288743,265931,521445,999,0,0,99322,496661,63890,0,0,90770,34590
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,14,57308,286589,263405,514875,732,0,0,96265,481375,66244,0,0,83039,40252
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,15,58322,291641,268251,522914,641,0,0,97226,486180,73165,0,0,85900,46189
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,16,60172,300901,276907,538684,911,0,0,96618,483144,76876,0,0,84127,50749
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,17,60859,304343,279958,543745,1152,0,0,93511,467608,77724,0,0,83424,51491
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,18,60432,302208,277908,538869,1095,0,0,93395,467023,79571,0,0,81478,54285
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,19,61715,308625,283995,550146,895,0,0,95594,478027,83589,0,0,84834,57536
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,20,61634,308215,283953,549599,741,0,0,96532,482726,86551,0,0,85810,60131
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,21,60612,303108,279001,540290,833,0,0,86885,434477,80440,0,0,74498,57493
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,22,59541,297760,274181,530257,712,0,0,84156,420858,81071,0,0,70666,59585
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,23,57441,287281,264255,510778,857,0,0,80327,401699,79289,0,0,67535,58996
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,24,55996,280038,257495,497616,845,0,0,78378,391947,79841,0,0,66162,59986
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,25,54061,270352,248441,479457,949,0,0,77222,386173,80835,0,0,63266,62100
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,26,54936,274734,252999,488252,990,0,0,76944,384790,81727,0,0,63268,63044
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,27,55992,280013,258092,497463,1002,0,0,75498,377551,81139,0,0,60877,63234
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,28,54241,271269,249124,480246,890,0,0,73921,369677,80423,0,0,61287,62289
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,29,53872,269418,247598,477122,1057,0,0,75658,378364,83459,0,0,64561,64363
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,30,52660,263362,242085,466750,588,0,0,73451,367333,81481,0,0,59809,64323
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,31,54342,271771,250687,482069,899,0,0,72035,360243,81167,0,0,60682,63258
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,32,52778,263949,242626,465992,837,0,0,68264,341386,81710,0,0,52717,66884
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,33,51799,259054,238680,457789,907,0,0,69176,345961,84298,0,0,53528,69361
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,34,51145,255781,235002,450110,918,0,0,66514,332643,81533,0,0,50835,67541
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,35,52424,262208,241258,461377,936,0,0,68069,340429,84432,0,0,52417,69929
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,36,51548,257814,236444,451739,776,0,0,67656,338364,84525,0,0,52121,70284
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,37,52184,260975,240493,458297,1058,0,0,66515,332660,83701,0,0,50957,70004
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,38,51378,256963,236387,450209,977,0,0,66597,333063,83975,0,0,51659,70126
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,39,52535,262746,241889,460222,816,0,0,68481,342495,88172,0,0,52068,74292
tpcc-t5-w40-m40-s4-d4-o4-p43-r45,40,53107,265608,244312,464388,1124,0,0,67801,339098,87174,0,0,51419,73757
